,Item1,Item2,support,conf,lift
1,britannia milk bikis biscuits rs.10,tata salt 1kg,0.04628845962361844,1.4822638501394976,30.908644374671116
3,britannia milk bikis biscuits rs.10,pacha pairu yellow 500gm,0.03289604699790899,1.0534077321642088,30.411423224218897
4,britannia milk bikis biscuits rs.10,kadala parupu 500gm,0.039903415314149156,1.2777999202869668,31.072505083394688
5,britannia milk bikis biscuits rs.10,pottukadalai 250gm,0.04330130439111819,1.3866082104424073,29.294149371492182
6,britannia milk bikis biscuits rs.10,pottukadalai 500gm,0.03226127651100269,1.033080908728577,29.454170521961963
7,britannia milk bikis biscuits rs.10,toor dhal 500gm,0.039928308274419996,1.278597050617776,27.72674802559638
8,britannia milk bikis biscuits rs.10,toor dhal 1kg,0.05583490988748382,1.7879633320047825,26.696176537184957
10,britannia milk bikis biscuits rs.10,ulundu full white 1kg,0.0478069302001394,1.530888800318852,26.32656887260656
11,britannia milk bikis biscuits rs.10,ulundu white broken 100gm,0.03282136811709648,1.0510163411717814,28.346041260525546
12,britannia milk bikis biscuits rs.10,jeeragam 50gm,0.033505924524544456,1.0729374252690314,28.024734881604374
13,britannia milk bikis biscuits rs.10,jeeragam 100gm,0.0393682166683262,1.2606616181745716,28.571677588326597
16,britannia milk bikis biscuits rs.10,pepper black 50gm,0.03288360051777357,1.0530091669988042,29.488661036372232
17,britannia milk bikis biscuits rs.10,pepper black 100gm,0.030892163696106742,0.9892387405340773,28.713655119028147
18,britannia milk bikis biscuits rs.10,vendiyam 100gm,0.039866075873742905,1.2766042247907532,27.163000486384608
20,britannia milk bikis biscuits rs.10,sugar 1kg,0.09473016031066414,3.033479473893981,26.523220682396133
21,britannia milk bikis biscuits rs.10,gold winner refined sunflower oil 1l,0.03370506820671114,1.079314467915504,26.87215420210823
22,tata salt 1kg,britannia milk bikis biscuits rs.10,0.03069302001394006,0.6400207630417857,20.49494945628905
25,tata salt 1kg,pacha pairu yellow 500gm,0.03289604699790899,0.6859589929924734,19.803337884652276
26,tata salt 1kg,kadala parupu 500gm,0.039903415314149156,0.8320788995587853,20.233821763362908
27,tata salt 1kg,pottukadalai 250gm,0.04330130439111819,0.9029327796522191,19.07579049392003
28,tata salt 1kg,pottukadalai 500gm,0.03226127651100269,0.6727225538541397,19.179993210382186
29,tata salt 1kg,toor dhal 500gm,0.039928308274419996,0.832597975603426,18.055128677970753
30,tata salt 1kg,toor dhal 1kg,0.05583490988748382,1.1642875681287308,17.384040210692206
32,tata salt 1kg,ulundu full white 1kg,0.0478069302001394,0.9968855437321569,17.143358759763785
33,tata salt 1kg,ulundu white broken 100gm,0.03282136811709648,0.6844017648585518,18.45840060281822
34,tata salt 1kg,jeeragam 50gm,0.033505924524544456,0.6986763560861666,18.2491720264587
35,tata salt 1kg,jeeragam 100gm,0.0393682166683262,0.8209187645990138,18.60533066937748
