,bill_no,store_id,sale_date,article_id,article_batch,quantity,selling_price,tax,discount,cost_price,customer_code
0,485451.0,3,2018-04-02,2,T2-877,4,8.33,1.05,0.0,6.772460000000001,39567
1,486106.0,3,2018-04-03,2,T2-877,3,8.33,1.0533,0.0,6.772460000000001,10677
2,486367.0,3,2018-04-04,2,T2-877,1,8.33,1.04,0.0,6.772460000000001,7315
3,486367.0,3,2018-04-04,2,T2-877,1,8.33,1.04,0.0,6.772460000000001,7315
4,486441.0,3,2018-04-04,2,T2-877,1,8.33,1.04,0.0,6.772460000000001,51541
5,486441.0,3,2018-04-04,2,T2-877,1,8.33,1.04,0.0,6.772460000000001,51541
6,487124.0,3,2018-04-06,2,T2-877,2,8.33,1.05,0.0,6.772460000000001,4284
7,488128.0,3,2018-04-08,2,T2-877,1,8.33,1.04,0.0,6.772460000000001,7664
8,488320.0,3,2018-04-09,2,T2-877,1,8.33,1.04,0.0,6.772460000000001,34529
9,488749.0,3,2018-04-10,2,T2-877,3,8.33,1.0533,0.0,6.772460000000001,53346
10,490424.0,3,2018-04-14,2,T2-5890,1,8.33,1.04,0.0,6.772460000000001,2183
11,490424.0,3,2018-04-14,2,T2-5890,1,8.33,1.04,0.0,6.772460000000001,2183
12,490603.0,3,2018-04-15,2,T2-5890,1,8.33,1.04,0.0,6.772460000000001,49072
13,492921.0,3,2018-04-21,2,T2-5890,2,8.33,1.05,0.0,6.772460000000001,2023
14,493527.0,3,2018-04-22,2,T2-5890,1,8.33,1.04,0.0,6.772460000000001,51312
15,493527.0,3,2018-04-22,2,T2-5890,1,8.33,1.04,0.0,6.772460000000001,51312
16,494950.0,3,2018-04-26,2,T2-5890,1,8.33,1.04,0.0,6.772460000000001,33426
17,494950.0,3,2018-04-26,2,T2-5890,1,8.33,1.04,0.0,6.772460000000001,33426
18,495157.0,3,2018-04-26,2,T2-5890,4,8.33,1.05,0.0,6.772460000000001,2080
19,496047.0,3,2018-04-29,2,T2-5890,1,8.33,1.04,0.0,6.772460000000001,48502
20,498349.0,3,2018-05-04,2,T2-5890,1,8.33,1.04,0.0,6.772460000000001,1023
21,498669.0,3,2018-05-05,2,T2-1016,1,8.33,1.04,0.0,6.772375,47971
22,499227.0,3,2018-05-06,2,T2-1016,1,8.33,1.04,0.0,6.772375,53430
23,500361.0,3,2018-05-09,2,T2-1016,1,8.33,1.04,0.0,6.772375,50235
24,500361.0,3,2018-05-09,2,T2-1016,1,8.33,1.04,0.0,6.772375,50235
25,501556.0,3,2018-05-12,2,T2-1016,1,8.33,1.04,0.0,6.772375,47971
26,502106.0,3,2018-05-13,2,T2-1016,1,8.33,1.04,0.0,6.772375,4027
27,504340.0,3,2018-05-19,2,T2-1016,1,8.33,1.04,0.0,6.772375,31801
28,505609.0,3,2018-05-22,2,T2-1016,1,8.33,1.04,0.0,6.772375,8263
29,505609.0,3,2018-05-22,2,T2-1016,1,8.33,1.04,0.0,6.772375,8263
30,505609.0,3,2018-05-22,2,T2-1016,1,8.33,1.04,0.0,6.772375,8263
31,507549.0,3,2018-05-27,2,T2-7445,1,8.33,1.04,0.0,6.77263,41512
32,508356.0,3,2018-05-29,2,T2-7445,1,8.33,1.04,0.0,6.77263,44892
33,508356.0,3,2018-05-29,2,T2-7445,1,8.33,1.04,0.0,6.77263,44892
34,509131.0,3,2018-05-31,2,T2-7445,4,8.33,1.05,0.0,6.77263,1892
35,509967.0,3,2018-06-02,2,T2-3104,1,8.33,1.04,0.0,6.7728,34219
36,509967.0,3,2018-06-02,2,T2-2220,1,8.33,1.04,0.0,6.77212,34219
